סמל היישוב,שם יישוב,"סה""כ",זכר,נקבה
175,אביחיל,"1,410",694,716
182,אבן יהודה,"13,700","6,723","6,978"
400,אבן שמואל,"1,675",882,793
679,אביאל,815,407,408
783,אבן ספיר,724,396,328
819,אביגדור,821,398,422
"1,070",אביעזר,865,436,429
"1,081",אבן מנחם,297,157,140
"1,115",אביבים,477,234,242
"1,220",אבירים,226,115,111
"1,275",אבטליון,470,226,245
"2,052",אביטל,502,264,238
"3,786",אבנת,185,118,66
"3,793",אבני חפץ,"1,895",970,925
"4,011",אבני איתן,714,352,361
472,אבו גוש,"7,543","3,800","3,743"
473,אבו סנאן,"13,915","7,081","6,835"
652,אבטין,"2,773","1,409","1,364"
"1,342",אבו קורינאת (יישוב),"1,815",923,892
"1,375",אבו תלול,"1,822",938,883
31,אופקים,"29,021","14,359","14,662"
67,אור הנר,754,381,373
113,אדירים,279,150,130
446,אודים,"1,375",685,691
680,אומץ,832,421,411
780,אורה,"1,337",650,687
"1,020",אור עקיבא,"18,237","8,943","9,293"
"1,046",אוהד,407,211,197
"1,068",אדמית,208,105,103
"1,108",אומן,367,184,183
"1,123",אדרת,848,424,424
"1,294",אור הגנוז,548,282,267
"1,311",אבשלום,273,137,137
"2,012",אורות,507,246,261
"2,400",אור יהודה,"36,864","18,207","18,657"
"3,759",אדורה,441,247,194
"4,010",אודם,139,73,66
"1,358",אום בטין,"4,093","2,042","2,051"
"2,024",אום אל-קוטוף,"1,093",566,527
"2,710",אום אל-פחם,"55,183","28,114","27,069"
49,אילנייה,491,246,245
77,איילת השחר,"1,134",568,566
278,אושה,493,252,241
294,אילון,"1,019",504,515
338,איבים,277,143,134
403,אורים,493,243,250
565,אזור,"12,853","6,355","6,498"
716,אייל,522,275,247
785,אחיהוד,867,445,423
797,אחיעזר,"1,872",910,961
804,אחיסמך,"1,374",721,653
821,אחוזם,543,299,244
850,אחיטוב,"1,099",554,545
882,אורנים,179,17,162
"1,126",אילות,318,154,163
"1,157",אחווה,351,122,230
"1,330",אחוזת ברק,"2,256","1,133","1,123"
"2,600",אילת,"51,935","26,946","24,988"
"3,760",אורנית,"8,807","4,473","4,334"
"4,013",אורטל,343,169,174
37,איתן,456,239,217
41,אליכין,"3,486","1,712","1,773"
285,אלונים,505,253,251
330,אלומות,410,199,211
429,אלוני אבא,991,494,497
868,אלוני יצחק,302,152,150
886,איתנים,80,58,22
"1,145",אלומה,514,257,257
"1,182",אלון הגליל,"1,115",567,549
"1,336",אירוס,622,318,304
"1,365",אליאב,427,225,202
"3,579",אלון מורה,"1,946","1,129",818
"3,604",אלון שבות,"3,151","1,683","1,468"
"3,762",איתמר,"1,238",703,535
"4,003",אל -רום,392,203,189
"4,017",אלוני הבשן,445,263,183
478,אכסאל,"14,500","7,482","7,018"
"1,316",אל -עריאן,191,106,85
"1,339",אל -עזי,188,86,102
"1,359",אל סייד,"5,664","3,012","2,652"
23,אמציה,353,195,158
204,אלישיב,734,371,363
603,אלקוש,292,157,135
682,אליקים,887,467,420
730,אליפלט,632,323,310
772,אמונים,979,485,495
841,אלישמע,"1,200",605,595
"1,064",אמירים,837,403,434
"1,125",אלמגור,389,196,193
"1,248",אליפז,151,73,79
"1,253",אמנון,319,150,169
"1,309",אלעד,"47,865","24,292","23,574"
"3,556",אלמוג,252,125,127
"3,560",אלקנה,"3,812","1,835","1,977"
"3,618",אלעזר,"2,510","1,219","1,291"
