סמל היישוב,שם יישוב,"סה""כ",זכר,נקבה
"3,750",אלפי מנשה,"7,866","3,945","3,920"
"3,754",אספר,835,475,360
"4,002",אלי-עד,400,207,194
"4,012",אניעם,531,268,263
529,אעבלין,"13,128","6,619","6,509"
70,אשדוד,"224,629","109,611","115,018"
71,אשבול,635,305,330
176,אפיקים,"1,494",750,744
188,אשדות יעקב (מאוחד),513,253,260
199,אשדות יעקב (איחוד),981,480,501
313,אפק,684,329,355
701,ארבל,738,395,342
714,ארז,517,266,251
"1,152",אשלים,550,274,277
"1,188",אשחר,919,484,434
"1,256",אשרת,548,259,290
"1,276",אשבל,125,67,58
"1,324",ארסוף,166,78,89
"2,021",אשל הנשיא,355,183,172
"3,570",אריאל,"20,455","10,254","10,201"
"3,598",ארגמן,132,73,60
"3,650",אפרת,"10,088","5,220","4,869"
"3,722",אשכולות,567,288,278
"4,301",אפיק,329,177,152
"7,100",אשקלון,"140,967","68,741","72,226"
21,באר אורה,967,490,477
155,באר טוביה,"1,215",598,616
234,ביצרון,"1,267",636,631
399,בארי,"1,038",503,535
450,בארות יצחק,420,206,214
559,בוסתן הגליל,"1,305",672,634
697,בארותיים,"1,154",579,575
698,בורגתה,"1,120",564,556
740,אשתאול,"1,253",637,616
762,בטחה,790,401,389
"1,278",באר מילכה,189,92,97
"1,376",באר גנים,"1,295",613,682
"2,043",בחן,"1,053",563,491
"2,530",באר יעקב,"26,123","13,416","12,707"
"9,000",באר שבע,"209,002","102,002","107,000"
482,בועיינה-נוג'ידאת,"9,645","4,994","4,651"
998,ביר אל-מכסור,"9,317","4,730","4,586"
"1,348",ביר הדאג',"5,735","2,842","2,892"
"4,001",בוקעאתא,"6,528","3,355","3,173"
"6,000",באקה אל-גרביה,"29,394","14,856","14,538"
95,בית אלפא,691,347,344
143,בית זרע,589,292,298
242,בית השיטה,"1,264",621,643
317,בית אורן,466,240,226
322,בית הלל,791,400,390
353,בית זיד,79,46,34
368,בירייה,844,432,412
373,בית הלוי,804,400,403
466,בית דגן,"7,211","3,654","3,556"
562,בית אלעזרי,"1,563",821,742
571,בית גמליאל,"1,018",508,510
572,בית העמק,554,264,289
619,בית גוברין,426,207,220
710,בית זית,"1,679",811,868
723,בית הגדי,839,441,398
"1,076",בית ברל,208,75,133
"3,574",בית אל,"6,043","3,227","2,816"
"3,645",בית הערבה,290,147,143
"3,652",בית אריה,"5,139","2,580","2,560"
480,בית ג'ן,"11,865","6,002","5,862"
16,בית ניר,612,307,305
159,בית חנן,548,263,285
200,בית ינאי,387,207,180
202,בית עובד,253,129,124
212,בית צבי,345,291,54
265,בית יוסף,461,245,216
288,בית יהושע,"1,054",511,544
301,בית עוזיאל,646,309,337
326,בית יצחק-שער חפר,"2,079",989,"1,090"
430,בית לחם הגלילית,825,407,418
604,בית עריף,"1,156",601,555
672,בית נקופה,722,352,371
751,בית מאיר,875,488,387
756,בית עזרא,"1,137",580,558
784,בית נחמיה,871,427,444
800,בית חנניה,912,470,442
877,בית חירות,904,441,463
"1,050",בית חשמונאי,"2,191","1,095","1,095"
"2,033",בית חלקיה,"1,221",817,404
"3,575",בית חורון,"1,362",693,669
94,בלפוריה,513,275,238
248,בית שערים,744,348,397
252,ביתן אהרן,121,62,60
365,בית קשת,707,339,368
386,בני דרור,"1,221",532,689
592,בני דרום,847,414,433
598,בית קמה,"1,396",696,700
712,בן עמי,775,392,383
747,בית שקמה,874,450,424
760,בן זכאי,"1,116",582,534
848,בית רבן,979,313,666
"1,084",בן שמן (כפר נוער),616,314,303
"1,162",בית רימון,789,426,363
"1,368",בני דקלים,"1,016",531,485
"2,013",בן שמן (מושב),865,424,441
"2,610",בית שמש,"118,676","59,196","59,480"
"3,780",ביתר עילית,"56,746","28,333","28,413"
"4,015",בני יהודה,"1,069",519,550
"6,100",בני ברק,"198,863","101,769","97,094"
"9,200",בית שאן,"18,226","9,184","9,042"
389,בצרה,"1,218",611,607
418,בני ציון,"1,365",669,696
428,ברור חיל,986,498,487
448,בני עטרות,975,484,491
588,בני ראם,"1,388",715,673
589,בצת,279,127,152
685,בניה,808,404,403
823,בר גיורא,672,336,335
864,בקוע,751,376,375
"1,066","בני עי""ש","7,017","3,380","3,637"
"1,191",בר יוחאי,"1,062",524,537
"1,363",בני נצרים,728,391,337
"2,060",ברוש,539,271,268
"3,612",בקעות,177,90,87
"3,710",ברכה,"2,620","1,351","1,269"
"3,744",ברוכין,"1,093",550,543
"9,800",בנימינה-גבעת עדה*,"15,627","7,770","7,858"
483,בענה,"8,300","4,154","4,145"
944,בסמת טבעון,"7,835","3,884","3,951"
"1,326","בסמ""ה","9,779","4,998","4,781"
33,בת שלמה,651,321,330
86,גבע,629,294,335
141,ברק,411,186,224
352,גבולות,345,172,172
379,גאולים,953,450,504
424,גבים,624,305,318
617,ברקאי,541,262,279
667,ברעם,590,305,284
683,גבע כרמל,"1,196",585,612
746,ברכיה,"1,273",694,579
853,גאליה,989,512,477
872,גאולי תימן,363,190,173
"1,319",בת חפר,"5,342","2,726","2,616"
"1,323",בת הדר,764,393,371
"1,361",בת חן,411,205,206
"2,038",ברקת,"2,035",990,"1,046"
"3,654",ברקן,"1,834",910,924
"3,763",גבע בנימין,"5,525","2,755","2,770"
"3,794",בת עין,"1,545",822,723
"6,200",בת ים,"128,774","61,401","67,373"
147,גבעת ברנר,"2,703","1,352","1,351"
173,גבעת חיים (מאוחד),"1,006",499,507
207,"גבעת ח""ן",363,179,184
360,"גבעת ניל""י",726,374,352
566,גבעת שמש,64,45,19
681,גבעת שמואל,"26,023","12,885","13,138"
703,גבעת עוז,474,238,236
787,גבעת יערים,"1,461",726,735
802,"גבעת כ""ח",922,470,452
870,גבעת השלושה,858,438,420
919,גבעת ישעיהו,827,393,435
"1,077",גבעת שפירא,408,193,215
"1,288",גבעת אלה,"1,973",991,982
"1,293",גבעת אבני,"1,976",984,991
"1,344",גבעות בר,"1,143",568,575
"2,014",גבעולים,384,191,193
"2,018",גבעת חיים (איחוד),"1,137",548,589
"3,644",גבעון החדשה,"1,086",546,540
"3,730",גבעת זאב,"17,922","8,858","9,063"
"4,021",גבעת יואב,702,349,353
35,גדות,441,215,225
133,גבת,936,443,492
145,גדיש,386,193,194
196,גיבתון,363,169,194
342,גברעם,470,250,221
370,גזר,285,137,149
442,גדעונה,458,230,228
457,גזית,725,349,376
706,גיאה,970,493,478
736,גילת,"1,437",737,700
755,גורן,429,225,203
793,גבעתי,"1,022",502,520
852,גונן,370,178,192
"1,043",גיזו,205,107,98
"1,204",גילון,"1,029",526,504
"1,219",גורנות הגליל,186,92,94
"2,550",גדרה,"28,093","13,598","14,495"
"6,300",גבעתיים,"60,212","28,491","31,720"
485,ג'ולס,"6,375","3,241","3,133"
"1,292",ג'דיידה-מכר,"20,920","10,564","10,356"
72,גן שמואל,928,442,486
92,גיניגר,707,345,362
144,גן שלמה,572,278,294
166,גן יבנה,"23,751","11,906","11,845"
225,גן השומרון,840,409,430
239,גן חיים,835,410,426
262,גינוסר,593,265,328
311,גן שורק,689,360,329
346,גליל ים,521,245,276
369,גלעד (אבן יצחק),490,250,240
393,גלאון,548,268,280
734,גן יאשיה,990,530,460
745,גמזו,"1,206",612,594
863,גינתון,902,485,417
"1,072",גן הדרום,614,317,297
"1,206",גיתה,287,142,145
"1,274",גן נר,"2,705","1,361","1,344"
"3,606",גלגל,178,84,95
"3,613",גיתית,476,256,220
627,ג'לג'וליה,"9,983","5,119","4,864"
39,גפן,405,220,185
128,גת רימון,312,163,149
218,גני עם,242,115,127
229,גני תקווה,"19,263","9,336","9,928"
305,גשר,420,205,216
340,גת (קיבוץ),828,414,414
463,געתון,694,353,341
549,גנות הדר,961,497,464
574,גשר הזיו,"1,643",815,828
836,גנות,588,288,300
842,געש,763,374,388
862,גני יוחנן,629,327,302
"1,103",גני הדר,321,165,156
"1,129",גרופית,247,123,123
"1,371",גני טל,802,416,387
"3,823",גני מודיעין,"2,489","1,221","1,267"
"4,022",גשור,282,139,143
487,ג'ש (גוש חלב),"3,090","1,520","1,570"
541,ג'סר א-זרקא,"14,692","7,322","7,370"
628,ג'ת,"11,799","6,017","5,782"
62,דגניה א',538,282,256
79,דגניה ב',655,335,320
146,דבורה,232,107,125
300,דלייה,800,378,422
336,דורות,821,423,398
407,דברת,439,221,218
431,דלתון,861,439,422
738,דור,434,211,223
849,דבירה,999,493,506
"1,067","דוב""ב",487,246,241
"2,063",דישון,352,171,180
"2,200",דימונה,"34,135","16,954","17,181"
"3,747",דולב,"1,341",632,709
475,דחי,691,357,334
489,דבורייה,"10,403","5,313","5,089"
490,דייר אל-אסד,"12,349","6,370","5,978"
492,דייר חנא,"10,259","5,158","5,100"
493,דייר ראפאת,94,49,45
494,דאלית אל-כרמל,"17,426","8,854","8,572"
"1,317",דמיידה,510,264,246
191,הדר עם,693,352,342
250,הזורע,875,413,462
302,דפנה,965,470,495
303,דן,733,364,369
307,הזורעים,"1,035",594,441
356,הגושרים,809,394,415
377,המעפיל,856,410,446
423,העוגן,908,448,460
434,החותרים,809,396,412
675,הבונים,349,179,170
677,הסוללים,927,469,458
684,היוגב,715,361,354
702,האון,181,82,99
726,הודייה,535,252,283
"1,186",הושעיה,"2,023","1,009","1,014"
"1,208",הילה,578,296,283
"1,241",דקל,341,167,174
"1,322",הודיות,316,157,159
"9,700",הוד השרון,"62,325","30,353","31,971"
"1,349",דריג'את,"1,200",617,583
44,זוהר,359,194,164
464,הראל,269,136,132
584,זיקים,810,423,387
788,זיתן,"1,081",550,531
799,זכריה,"1,108",535,573
815,זבדיאל,527,265,262
816,זנוח,505,268,237
"1,065",זמרת,589,294,295
"1,133",ורדון,287,145,142
"1,203",הררית,509,257,252
"1,249",הרדוף,"1,107",546,561
"1,261",הר עמשא,180,96,85
"2,064",זרועה,433,218,215
"3,603",הר גילה,"1,591",781,810
"3,639",ורד יריחו,317,163,154
"3,769",הר אדר,"4,056","2,018","2,038"
"6,400",הרצלייה,"95,142","46,247","48,895"
"9,300",זכרון יעקב,"23,075","11,309","11,766"
975,זרזיר,"7,942","4,037","3,906"
"1,290",זמר,"6,939","3,507","3,432"
115,חופית,754,363,391
160,חולדה,"1,096",547,549
205,חגלה,857,395,462
235,חבצלת השרון,492,281,211
253,חולתה,669,330,339
374,חוקוק,587,295,292
618,חדיד,887,454,434
662,חוסן,"1,130",559,571
717,חגור,"1,156",569,587
818,זרחיה,719,368,350
"1,110",חבר,571,288,282
"1,239",חולית,164,80,84
"3,764",חגי,635,352,283
"4,026",חד-נס,823,440,383
"6,500",חדרה,"95,683","47,114","48,569"
"6,600",חולון,"194,273","93,884","100,389"
496,חורפיש,"6,315","3,168","3,147"
"1,303",חורה,"21,559","10,801","10,758"
"1,321",ח'ואלד,696,351,346
"1,332",חוסנייה,731,368,362
90,חפצי-בה,742,344,398
162,חירות,"1,309",636,672
219,חיבת ציון,710,355,354
280,חניתה,761,375,386
343,חמדיה,365,177,188
355,חורשים,331,157,174
363,חפץ חיים,561,269,292
700,חצב,"1,468",744,724
801,חמד,"1,258",761,497
807,חניאל,933,456,477
820,חלץ,444,239,206
"1,047",חזון,324,159,165
"1,257",חנתון,963,493,470
"1,272",חלוץ,517,256,260
"3,609",חמרה,174,73,102
"3,643",חיננית,"1,322",689,633
"3,646",חמדת,278,157,121
"4,005",חספין,"2,057","1,418",639
993,חמאם,"1,474",719,755
"4,000",חיפה,"283,640","136,717","146,923"
13,חצבה,604,306,298
268,טירת צבי,904,508,396
397,חצרים,832,398,434
406,חצור-אשדוד,624,311,312
422,חרב לאת,944,630,314
462,טל שחר,"1,366",689,677
663,טירת יהודה,"1,189",598,590
"1,024",חרוצים,866,419,447
"1,209",חרשים,329,157,172
"1,247",חריש,"7,569","3,762","3,806"
"2,034",חצור הגלילית,"9,165","4,681","4,484"
"2,100",טירת כרמל,"22,209","10,986","11,224"
"3,717",חרמש,228,119,110
"3,770",חשמונאים,"2,760","1,360","1,400"
"6,700",טבריה,"44,233","22,077","22,156"
497,טייבה (בעמק),"1,843",923,921
498,טורעאן,"14,036","7,222","6,813"
962,טובא-זנגרייה,"6,667","3,297","3,369"
"2,720",טירה,"26,163","13,151","13,012"
"2,730",טייבה,"43,128","21,734","21,393"
46,יבנאל,"4,294","2,126","2,168"
64,"יד רמב""ם","1,094",535,559
96,יגור,"1,603",784,819
358,יד מרדכי,767,398,369
577,יד בנימין,"4,175","2,093","2,083"
758,יד חנה,926,474,452
775,יד נתן,638,334,304
798,יגל,929,458,471
"1,134",יד השמונה,302,141,161
"1,144",ידידה,212,154,58
"1,177",טללים,509,244,265
"1,181",טל-אל,"1,174",609,565
"1,214",טפחות,484,283,201
"1,232",יבול,340,175,166
"2,660",יבנה,"46,705","23,261","23,444"
"3,743",טנא,847,447,400
"3,788",טלמון,"4,349","2,189","2,160"
547,טמרה (יזרעאל),"1,578",790,788
"1,295",יאנוח-ג'ת,"6,614","3,305","3,309"
"8,900",טמרה,"33,851","17,089","16,762"
29,יסוד המעלה,"1,719",838,880
409,יחיעם,716,376,341
440,יסודות,913,569,344
452,יזרעאל,556,267,289
575,יסעור,857,427,430
753,ינוב,933,498,436
803,יושיביה,667,346,321
811,יכיני,716,371,345
866,יטבתה,696,346,350
"1,044",יעף,308,154,154
"1,112",יודפת,867,435,432
"1,138",יעד,682,348,334
"1,158",יהל,194,101,93
"1,226",יובלים,"1,105",542,564
"2,009",יובל,625,321,305
"2,011",ינון,"1,176",589,588
"3,607","ייט""ב",348,157,191
"4,007",יונתן,705,290,416
"9,400",יהוד,"29,929","14,733","15,196"
134,יפעת,"1,153",585,567
183,ירקונה,366,181,186
240,יקנעם עילית,"23,311","11,485","11,826"
241,יקנעם (מושבה),"1,397",692,705
417,יקום,748,374,374
453,יפתח,538,270,268
623,יראון,410,211,199
718,ירחיב,"1,086",562,524
759,יציץ,821,429,392
795,יערה,740,375,365
805,ישעי,760,377,383
831,ירוחם,"9,975","5,269","4,705"
916,ישע,410,212,199
"2,026",ירדנה,371,184,187
"3,566",יפית,197,94,103
"3,647",יקיר,"2,183","1,098","1,085"
"3,749",יצהר,"1,635",900,734
499,יפיע,"18,905","9,555","9,351"
502,ירכא,"17,002","8,748","8,254"
"3,000",ירושלים,"919,438","458,735","460,703"
371,כדורי,244,152,92
576,כברי,"1,051",523,528
824,כוכב מיכאל,"1,053",559,494
828,ישרש,"1,010",519,491
840,כיסופים,237,116,121
"1,153",כישור,184,118,66
"1,183",כליל,705,352,353
"1,210",כחל,425,211,214
"1,224",כוכב יאיר,"8,772","4,394","4,378"
"1,227",יתד,462,245,217
"1,229",כלנית,226,127,98
"1,252",כורזים,343,159,184
"1,291",כמהין,182,95,88
"1,338",כדיתה,186,101,86
"3,564",כוכב השחר,"2,122","1,140",982
"3,779",כוכב יעקב,"8,194","3,978","4,216"
504,כאבול,"13,854","6,990","6,864"
505,כאוכב אבו אל-היג'א,"3,526","1,765","1,762"
"1,331",כמאנה,"1,495",766,729
"1,367",כחלה,394,203,192
57,כנרת (קבוצה),687,349,338
63,כנרת (מושבה),688,348,340
106,כפר גדעון,349,179,170
132,כפר ברוך,579,296,284
177,"כפר ביל""ו","1,261",641,620
220,כפר ביאליק,844,441,403
357,כפר בלום,771,372,400
364,כפר אוריה,924,479,446
690,כפר אחים,868,433,435
857,כפר אביב,804,408,397
859,כסלון,428,216,212
"1,201",כמון,"1,384",691,693
"2,006",כנות,439,243,196
"2,010",כפר בן נון,736,373,363
"3,638",כפר אדומים,"4,513","2,281","2,232"
"4,028",כנף,461,222,240
633,כפר ברא,"3,594","1,801","1,793"
978,כעביה-טבאש-חג'אג'רה,"5,409","2,721","2,688"
"1,059",כסיפה,"21,079","10,533","10,547"
"1,296",כסרא-סמיע,"8,649","4,421","4,227"
76,כפר גלעדי,675,330,345
187,כפר הס,"1,577",781,797
190,כפר ויתקין,"2,013",998,"1,015"
192,כפר החורש,695,333,362
217,"כפר הרא""ה","1,439",842,597
254,כפר המכבי,373,180,192
310,כפר גליקסון,323,164,160
320,כפר ורבורג,"1,142",551,591
427,כפר גלים,379,226,152
443,כפר הנשיא,864,421,443
582,כפר הנגיד,"1,232",639,593
609,כפר חושן,787,403,384
696,"כפר חב""ד","6,422","3,222","3,199"
707,כפר דניאל,715,360,354
786,כפר זיתים,778,449,329
888,"כפר הרי""ף",837,438,399
890,כפר הנוער הדתי,222,109,113
"1,263",כפר ורדים,"5,579","2,729","2,850"
"1,325",כפר זוהרים,155,124,31
"3,796",כפר האורנים,"2,663","1,346","1,317"
85,כפר יחזקאל,"1,176",591,585
98,"כפר מל""ל",328,174,154
112,כפר חסידים א',833,422,411
140,כפר יהושע,"1,222",597,624
168,כפר יונה,"23,061","11,592","11,469"
170,כפר יעבץ,644,317,327
193,כפר חיים,619,317,302
233,כפר ידידיה,744,383,361
255,כפר חיטים,620,332,288
274,כפר מנחם,"1,365",687,678
387,כפר מונש,957,468,489
673,כפר טרומן,901,440,461
889,כפר חסידים ב',336,172,164
"1,095",כפר מימון,340,166,174
"1,297",כפר חנניה,733,373,360
"4,004",כפר חרוב,421,224,197
507,כפר יאסיף,"10,029","5,049","4,979"
508,כפר כמא,"3,332","1,649","1,683"
509,כפר כנא,"22,399","11,412","10,987"
510,כפר מנדא,"19,843","10,353","9,490"
107,כפר סילבר,274,162,112
189,כפר פינס,"1,020",288,732
249,כפר סירקין,"1,495",741,753
295,כפר רופין,494,244,250
297,כפר מסריק,831,437,393
316,כפר נטר,"1,223",598,625
345,כפר סאלד,632,309,323
388,כפר קיש,592,305,287
579,כפר ראש הנקרה,"1,365",664,701
605,כפר שמאי,531,256,275
764,כפר מרדכי,644,318,326
845,כפר עזה,703,365,338
875,כפר עבודה,238,121,117
"1,130",כפר רוזנואלד (זרעית),262,134,127
"1,166",כפר רות,252,131,121
"3,488",כפר עציון,"1,152",750,402
"6,900",כפר סבא,"100,764","48,475","52,288"
512,כפר מצר,"2,714","1,403","1,311"
634,כפר קאסם,"23,242","11,938","11,303"
654,כפר קרע,"18,675","9,452","9,223"
47,כפר תבור,"4,262","2,113","2,149"
88,כרם בן שמן,87,44,43
267,כפר שמריהו,"1,890",927,964
580,"כרם מהר""ל",757,384,373
585,לביא,620,309,311
664,כרם בן זמרה,492,246,246
743,כפר שמואל,932,480,452
768,כרמייה,647,307,340
"1,085",כרם שלום,157,82,74
"1,094",כרם יבנה (ישיבה),496,348,148
"1,139",כרמיאל,"46,124","22,546","23,579"
"1,198",כרמים,485,240,244
"1,207",לבון,710,356,354
"1,230",לבנים,430,209,222
"1,264",כרמי יוסף,"1,731",876,855
"1,285",כרכום,527,273,254
"1,374",כרמי קטיף,361,168,193
"3,572",כפר תפוח,"1,238",603,636
"3,656",כרמל,436,238,198
"3,766",כרמי צור,"1,021",508,513
24,לכיש,744,379,365
52,לוזית,762,364,399
102,מאיר שפיה,286,178,108
380,להבות הבשן,879,432,446
595,לוחמי הגיטאות,685,345,340
674,לימן,690,357,333
715,להבות חביבה,991,487,505
771,מבוא ביתר,952,485,467
"1,171",לוטם,765,378,387
"1,173",לפידות,116,54,62
"1,255",לוטן,200,108,92
"1,271",להבים,"6,350","3,147","3,203"
"1,310",לפיד,"2,459","1,222","1,238"
"2,023",להב,530,242,288
"2,055",מאור,"1,367",670,697
"3,569",מבוא דותן,403,208,195
"3,709",מבוא חורון,"2,650","1,400","1,250"
"4,204",מבוא חמה,434,209,225
"1,060",לקיה,"13,394","6,676","6,718"
"7,000",לוד,"75,726","37,520","38,206"
65,מגדל,"1,941",991,950
375,מגל,"1,154",575,580
573,מבקיעים,484,248,235
586,מגידו,855,422,433
689,מגדים,"1,329",658,671
695,מגן,537,279,258
722,מגשימים,"1,068",538,530
829,מבטחים,426,223,203
874,מגדל העמק,"25,636","12,788","12,848"
"1,015",מבשרת ציון,"23,962","11,934","12,028"
"1,080",מבועים,"1,218",605,612
"1,141",מבוא מודיעים,254,121,133
"1,155",מגן שאול,668,349,318
"1,318",מבואות ים,433,278,155
"2,029",מדרך עוז,775,373,402
"3,561",מגדל עוז,574,235,339
"3,751",מגדלים,367,204,163
481,מגאר,"22,609","11,672","10,936"
516,מג'ד אל-כרום,"15,292","7,857","7,435"
"4,201",מג'דל שמס,"11,045","5,602","5,443"
28,מזכרת בתיה,"14,680","7,251","7,429"
43,מטולה,"1,599",820,779
104,מזרע,772,374,398
208,מוצא עילית,"1,169",557,612
269,מולדת,"1,066",535,531
308,מחניים,773,364,410
606,מזור,"1,334",672,662
776,מחסיה,454,247,207
822,מטע,899,434,465
897,מדרשת רופין,306,180,126
"1,128",מי עמי,362,187,175
"1,140",מדרשת בן גוריון,"1,961",970,991
"1,163",מורן,458,213,245
"1,178",מורשת,"1,455",708,748
"1,196",מחנה יתיר,248,115,133
"1,200",מודיעין-מכבים-רעות*,"92,406","45,829","46,577"
"3,599",מחולה,575,279,296
"3,797",מודיעין עילית,"73,080","37,042","36,038"
517,מזרעה,"3,858","1,958","1,900"
635,מוקייבלה,"4,029","2,028","2,001"
48,מנחמיה,"1,032",529,503
164,מלאה,379,200,179
347,מנרה,246,131,115
382,מכמורת,"1,369",683,686
596,מלכייה,452,222,231
607,מירון,963,444,519
731,מישר,830,406,424
"1,154",מלכישוע,213,183,31
"1,174",מנוף,862,425,437
"1,202",מכמנים,533,260,274
"1,205",מנות,441,223,218
"1,268",מיתר,"8,438","4,238","4,200"
"1,282",מירב,706,350,356
"2,030",מנוחה,593,295,298
"2,044",מלילות,340,172,169
"2,054",מיטב,466,254,212
"3,614",מכורה,161,86,75
"4,019",מיצר,287,133,154
649,מייסר,"1,970",973,997
"1,343",מכחול,736,376,360
197,מעברות,979,496,483
263,מסדה,370,186,184
272,מעוז חיים,479,248,231
290,מעיין צבי,727,340,387
298,מסילות,431,214,217
416,מעיין ברוך,746,384,362
570,מעונה,963,487,476
678,מעגן,374,191,183
694,מעגן מיכאל,"1,992","1,009",983
742,מסילת ציון,"1,248",606,642
748,מסלול,860,420,439
"1,082",מעגלים,"2,059","1,012","1,047"
"1,127",מעלה גלבוע,806,481,325
"1,258",מסד,376,185,191
"3,608",מעלה אפרים,"1,241",661,579
"3,616",מעלה אדומים,"38,193","18,676","19,517"
"3,657",מעון,575,275,301
518,מעיליא,"3,254","1,607","1,647"
994,מנשית זבדה,"1,325",667,658
"4,203",מסעדה,"3,650","1,876","1,775"
58,מצפה,141,72,69
99,מצפה רמון,"5,220","2,856","2,364"
230,מעש,868,412,456
286,מעלה החמישה,769,375,394
325,מצובה,"1,170",592,579
344,מענית,766,365,401
668,מפלסים,"1,007",502,505
757,מצליח,"1,350",699,651
"1,190",מצפה נטופה,"1,002",498,504
"1,222","מצפה אבי""ב","1,024",520,504
"1,370",מצפה אילן,455,218,237
"3,576",מצפה יריחו,"2,453","1,414","1,040"
"3,637",מעלה שומרון,"1,012",496,516
"3,651",מעלה מכמש,"1,464",737,726
"3,653",מעלה עמוס,535,260,274
"3,745",מצדות יהודה,512,290,222
"3,752",מעלה לבונה,866,329,537
"4,008",מעלה גמלא,514,266,249
"1,327",מעלה עירון,"14,833","7,531","7,302"
"1,063",מעלות-תרשיחא,"21,423","10,743","10,680"
22,מקווה ישראל,386,228,157
66,מרחביה (קיבוץ),"1,233",590,643
97,מרחביה (מושב),661,322,339
378,משגב עם,337,162,175
395,משמר הנגב,934,475,459
421,משאבי שדה,461,221,240
563,משמר דוד,871,442,428
620,משואות יצחק,688,320,368
648,מצר,378,184,195
670,משמר איילון,550,276,274
732,משמר הירדן,804,408,396
765,משגב דב,706,345,362
843,מרגליות,401,215,186
"1,098",מרכז שפירא,"2,211","1,253",958
"1,340",מרחב עם,466,231,235
"3,605",משואה,171,86,85
"3,610",מצפה שלם,211,97,114
"3,785",משכיות,286,164,122
"4,101",מרום גולן,724,366,359
520,משהד,"8,219","4,231","3,988"
80,נהלל,895,444,451
130,משמר העמק,"1,255",599,656
194,משמר השרון,605,303,303
213,משמרות,979,489,489
309,נהורה,"1,176",592,584
315,נגבה,953,465,488
396,נבטים,979,481,498
408,נאות מרדכי,586,300,286
425,משמרת,"1,082",549,534
729,משמר השבעה,"1,006",524,483
791,משען,"1,053",539,514
"1,124",נאות הכיכר,434,233,200
"1,184",מתת,191,100,91
"1,197",נאות סמדר,222,109,113
"1,315",מתן,"3,600","1,803","1,796"
