סמל היישוב,שם יישוב,"סה""כ",זכר,נקבה
175,אביחיל,"1,383",677,706
182,אבן יהודה,"13,704","6,717","6,987"
400,אבן שמואל,"1,941",829,"1,112"
679,אביאל,812,405,407
783,אבן ספיר,728,398,330
819,אביגדור,793,377,416
"1,070",אביעזר,883,441,442
"1,081",אבן מנחם,286,151,134
"1,115",אביבים,489,240,249
"1,220",אבירים,216,110,106
"1,275",אבטליון,436,211,225
"2,052",אביטל,519,272,248
"3,786",אבנת,201,136,65
"3,793",אבני חפץ,"1,836",925,911
"4,011",אבני איתן,700,351,349
472,אבו גוש,"7,332","3,684","3,648"
473,אבו סנאן,"13,694","6,965","6,729"
652,אבטין,"2,759","1,398","1,361"
"1,342",אבו קורינאת (יישוב),"1,569",783,786
"1,375",אבו תלול,551,305,245
31,אופקים,"27,771","13,637","14,133"
67,אור הנר,733,373,360
113,אדירים,277,149,128
446,אודים,"1,367",682,685
680,אומץ,795,404,391
780,אורה,"1,388",676,712
"1,020",אור עקיבא,"17,759","8,701","9,058"
"1,046",אוהד,408,207,201
"1,068",אדמית,199,102,98
"1,108",אומן,355,178,177
"1,123",אדרת,919,458,461
"1,294",אור הגנוז,539,270,269
"1,311",אבשלום,261,128,133
"2,012",אורות,515,249,266
"2,400",אור יהודה,"36,706","18,159","18,547"
"3,759",אדורה,440,239,201
"4,010",אודם,131,68,63
"1,358",אום בטין,"3,443","1,717","1,727"
"2,024",אום אל-קוטוף,"1,071",556,515
"2,710",אום אל-פחם,"54,240","27,578","26,662"
49,אילנייה,487,241,246
77,איילת השחר,"1,161",599,562
278,אושה,483,242,241
294,אילון,980,485,495
338,איבים,379,192,186
403,אורים,475,233,242
565,אזור,"12,701","6,340","6,361"
716,אייל,506,274,232
785,אחיהוד,859,430,429
797,אחיעזר,"1,782",853,929
804,אחיסמך,"1,382",711,672
821,אחוזם,539,303,237
850,אחיטוב,"1,091",556,535
882,אורנים,182,18,164
"1,126",אילות,322,154,168
"1,157",אחווה,293,109,184
"1,330",אחוזת ברק,"2,208","1,103","1,105"
"2,600",אילת,"50,724","26,285","24,439"
"3,760",אורנית,"8,655","4,377","4,279"
"4,013",אורטל,352,175,177
37,איתן,449,237,212
41,אליכין,"3,483","1,723","1,761"
285,אלונים,482,245,237
330,אלומות,381,177,203
429,אלוני אבא,970,477,493
868,אלוני יצחק,270,143,127
886,איתנים,72,50,22
"1,145",אלומה,503,249,255
"1,182",אלון הגליל,"1,086",553,533
"1,336",אירוס,478,244,234
"1,365",אליאב,361,193,168
"3,579",אלון מורה,"1,912","1,095",816
"3,604",אלון שבות,"3,213","1,719","1,494"
"3,762",איתמר,"1,199",693,506
"4,003",אל -רום,381,196,185
"4,017",אלוני הבשן,439,261,178
478,אכסאל,"14,245","7,353","6,892"
"1,316",אל -עריאן,188,102,86
"1,339",אל -עזי,187,87,100
"1,359",אל סייד,"3,796","2,015","1,781"
23,אמציה,465,254,211
204,אלישיב,734,374,359
603,אלקוש,302,163,139
682,אליקים,884,460,425
730,אליפלט,623,322,301
772,אמונים,966,479,487
841,אלישמע,"1,210",613,597
"1,064",אמירים,813,389,424
"1,125",אלמגור,383,197,186
"1,248",אליפז,150,71,78
"1,253",אמנון,313,142,171
"1,309",אלעד,"46,896","23,784","23,112"
"3,556",אלמוג,250,130,120
"3,560",אלקנה,"3,884","1,849","2,036"
"3,618",אלעזר,"2,571","1,260","1,311"
"3,750",אלפי מנשה,"7,801","3,903","3,897"
"3,754",אספר,729,413,316
"4,002",אלי-עד,375,192,183
"4,012",אניעם,536,271,265
529,אעבלין,"12,990","6,540","6,450"
70,אשדוד,"222,883","108,711","114,172"
71,אשבול,562,273,290
176,אפיקים,"1,493",735,757
188,אשדות יעקב (מאוחד),475,236,239
199,אשדות יעקב (איחוד),996,485,511
313,אפק,630,302,328
701,ארבל,732,395,336
714,ארז,494,252,241
"1,152",אשלים,525,263,262
"1,188",אשחר,886,467,419
"1,256",אשרת,551,256,294
"1,276",אשבל,113,65,48
"1,324",ארסוף,178,83,94
"2,021",אשל הנשיא,349,181,169
"3,570",אריאל,"19,626","9,749","9,876"
"3,598",ארגמן,128,71,57
"3,650",אפרת,"9,116","4,728","4,388"
"3,722",אשכולות,521,260,260
"4,301",אפיק,295,152,143
"7,100",אשקלון,"137,945","67,209","70,736"
21,באר אורה,871,439,432
155,באר טוביה,"1,177",586,592
234,ביצרון,"1,227",614,613
399,בארי,"1,018",498,520
