סמל היישוב,שם יישוב,"סה""כ",זכר,נקבה
175,אביחיל,"1,386",681,705
182,אבן יהודה,"13,542","6,626","6,916"
400,אבן שמואל,"1,749",723,"1,026"
679,אביאל,851,428,423
783,אבן ספיר,730,405,325
819,אביגדור,779,374,405
"1,070",אביעזר,855,427,428
"1,081",אבן מנחם,270,144,126
"1,115",אביבים,502,247,255
"1,220",אבירים,214,110,104
"1,275",אבטליון,394,188,206
"2,052",אביטל,520,272,248
"3,786",אבנת,193,130,63
"3,793",אבני חפץ,"1,759",884,876
"4,011",אבני איתן,681,345,336
472,אבו גוש,"7,140","3,586","3,554"
473,אבו סנאן,"13,518","6,853","6,665"
652,אבטין,"2,748","1,394","1,354"
"1,342",אבו קורינאת (יישוב),"1,440",713,727
"1,375",אבו תלול,391,213,178
31,אופקים,"26,625","13,087","13,538"
67,אור הנר,718,366,352
113,אדירים,271,147,124
446,אודים,"1,356",667,689
680,אומץ,790,402,387
780,אורה,"1,416",693,723
"1,020",אור עקיבא,"17,568","8,608","8,960"
"1,046",אוהד,416,212,205
"1,068",אדמית,181,93,87
"1,108",אומן,323,160,164
"1,123",אדרת,914,460,454
"1,294",אור הגנוז,514,253,261
"1,311",אבשלום,264,132,132
"2,012",אורות,491,243,248
"2,400",אור יהודה,"36,536","18,089","18,448"
"3,759",אדורה,421,226,195
"4,010",אודם,126,64,62
"1,358",אום בטין,"3,274","1,636","1,638"
"2,024",אום אל-קוטוף,"1,052",543,508
"2,710",אום אל-פחם,"53,306","27,103","26,203"
49,אילנייה,478,237,241
77,איילת השחר,"1,202",611,591
278,אושה,495,245,250
294,אילון,956,479,477
338,איבים,135,72,63
403,אורים,470,229,241
565,אזור,"12,569","6,291","6,278"
716,אייל,485,263,222
785,אחיהוד,850,430,420
797,אחיעזר,"1,770",851,919
804,אחיסמך,"1,376",702,674
821,אחוזם,543,300,243
850,אחיטוב,"1,052",543,509
882,אורנים,182,18,164
"1,126",אילות,319,149,169
"1,157",אחווה,332,126,206
"1,330",אחוזת ברק,"2,135","1,068","1,067"
"2,600",אילת,"50,072","25,942","24,130"
"3,760",אורנית,"8,652","4,363","4,289"
"4,013",אורטל,335,168,167
37,איתן,442,238,204
41,אליכין,"3,417","1,692","1,725"
285,אלונים,481,246,234
330,אלומות,354,169,185
429,אלוני אבא,983,484,499
868,אלוני יצחק,276,147,129
886,איתנים,72,50,22
"1,145",אלומה,493,250,243
"1,182",אלון הגליל,"1,071",547,524
"1,336",אירוס,370,189,181
"1,365",אליאב,298,161,137
"3,579",אלון מורה,"1,861","1,071",790
"3,604",אלון שבות,"3,180","1,703","1,477"
"3,762",איתמר,"1,151",676,475
"4,003",אל -רום,372,190,182
"4,017",אלוני הבשן,422,253,169
478,אכסאל,"13,961","7,198","6,763"
"1,316",אל -עריאן,184,101,83
"1,339",אל -עזי,188,86,102
"1,359",אל סייד,"3,692","1,923","1,769"
23,אמציה,567,296,271
204,אלישיב,730,377,353
603,אלקוש,309,168,141
682,אליקים,882,457,424
730,אליפלט,614,314,300
772,אמונים,938,468,470
841,אלישמע,"1,206",610,596
"1,064",אמירים,795,380,414
"1,125",אלמגור,374,195,179
"1,248",אליפז,152,77,76
"1,253",אמנון,300,137,162
"1,309",אלעד,"45,854","23,184","22,670"
"3,556",אלמוג,239,127,112
"3,560",אלקנה,"3,898","1,867","2,031"
"3,618",אלעזר,"2,568","1,238","1,330"
"3,750",אלפי מנשה,"7,780","3,884","3,895"
"3,754",אספר,688,396,292
"4,002",אלי-עד,382,192,190
"4,012",אניעם,513,255,257
529,אעבלין,"12,830","6,453","6,377"
70,אשדוד,"221,591","108,005","113,587"
71,אשבול,527,260,267
176,אפיקים,"1,452",720,732
188,אשדות יעקב (מאוחד),445,214,231
199,אשדות יעקב (איחוד),984,490,494
313,אפק,597,283,314
701,ארבל,714,391,323
714,ארז,478,242,236
"1,152",אשלים,495,246,249
"1,188",אשחר,879,464,415
"1,256",אשרת,545,251,295
"1,276",אשבל,104,59,46
"1,324",ארסוף,163,77,86
"2,021",אשל הנשיא,335,174,162
"3,570",אריאל,"19,220","9,546","9,673"
"3,598",ארגמן,131,74,57
"3,650",אפרת,"8,658","4,480","4,178"
"3,722",אשכולות,515,254,260
"4,301",אפיק,292,151,142
"7,100",אשקלון,"134,454","65,469","68,985"
21,באר אורה,734,376,358
155,באר טוביה,"1,108",543,565
234,ביצרון,"1,234",611,624
399,בארי,"1,018",493,524
450,בארות יצחק,415,197,217
559,בוסתן הגליל,"1,198",601,596
697,בארותיים,"1,137",578,559
698,בורגתה,"1,123",566,556
740,אשתאול,"1,233",615,618
762,בטחה,752,376,377
"1,278",באר מילכה,157,83,74
"1,376",באר גנים,660,302,359
"2,043",בחן,951,496,454
"2,530",באר יעקב,"20,378","10,607","9,771"
"9,000",באר שבע,"205,810","100,583","105,227"
482,בועיינה-נוג'ידאת,"9,271","4,801","4,470"
998,ביר אל-מכסור,"8,903","4,515","4,389"
"1,348",ביר הדאג',"5,146","2,529","2,617"
"4,001",בוקעאתא,"6,431","3,291","3,141"
"6,000",באקה אל-גרביה,"28,526","14,417","14,109"
95,בית אלפא,743,369,375
143,בית זרע,579,275,303
242,בית השיטה,"1,223",603,620
317,בית אורן,470,244,226
322,בית הלל,790,398,392
353,בית זיד,82,45,37
368,בירייה,820,401,419
373,בית הלוי,802,389,413
466,בית דגן,"7,098","3,588","3,511"
562,בית אלעזרי,"1,524",789,735
571,בית גמליאל,960,482,479
572,בית העמק,536,248,288
619,בית גוברין,444,219,225
710,בית זית,"1,637",782,855
723,בית הגדי,761,402,359
"1,076",בית ברל,196,68,127
"3,574",בית אל,"6,115","3,257","2,859"
"3,645",בית הערבה,183,89,94
"3,652",בית אריה,"4,842","2,436","2,406"
480,בית ג'ן,"11,568","5,813","5,755"
16,בית ניר,594,301,293
159,בית חנן,569,272,297
200,בית ינאי,392,203,189
202,בית עובד,303,153,150
212,בית צבי,252,211,41
265,בית יוסף,448,240,208
288,בית יהושע,"1,037",509,528
301,בית עוזיאל,635,314,320
326,בית יצחק-שער חפר,"2,112","1,009","1,103"
430,בית לחם הגלילית,788,393,395
604,בית עריף,"1,124",578,545
672,בית נקופה,654,324,330
751,בית מאיר,804,415,390
756,בית עזרא,"1,092",558,533
784,בית נחמיה,886,420,466
800,בית חנניה,903,462,441
877,בית חירות,886,436,450
"1,050",בית חשמונאי,"2,186","1,085","1,101"
"2,033",בית חלקיה,"1,156",771,385
"3,575",בית חורון,"1,240",649,591
94,בלפוריה,445,224,221
248,בית שערים,762,361,401
252,ביתן אהרן,377,132,245
365,בית קשת,605,288,317
386,בני דרור,"1,238",548,690
592,בני דרום,707,345,362
598,בית קמה,"1,400",714,687
712,בן עמי,766,386,380
747,בית שקמה,859,441,418
760,בן זכאי,"1,087",561,526
848,בית רבן,"1,145",292,853
"1,084",בן שמן (כפר נוער),624,325,298
"1,162",בית רימון,656,366,290
"1,368",בני דקלים,771,408,363
"2,013",בן שמן (מושב),870,443,426
"2,610",בית שמש,"109,762","54,875","54,887"
"3,780",ביתר עילית,"51,636","25,794","25,842"
"4,015",בני יהודה,"1,024",506,518
"6,100",בני ברק,"188,964","96,629","92,335"
"9,200",בית שאן,"17,587","8,853","8,734"
389,בצרה,"1,153",592,561
418,בני ציון,"1,412",691,721
428,ברור חיל,918,477,441
448,בני עטרות,995,502,493
588,בני ראם,"1,338",689,648
589,בצת,257,121,135
685,בניה,794,395,399
823,בר גיורא,661,332,330
864,בקוע,691,352,339
"1,066","בני עי""ש","6,955","3,367","3,587"
"1,191",בר יוחאי,941,457,484
"1,363",בני נצרים,610,306,304
"2,060",ברוש,465,235,230
"3,612",בקעות,187,92,95
"3,710",ברכה,"2,339","1,230","1,109"
"3,744",ברוכין,818,409,409
"9,800",בנימינה-גבעת עדה*,"15,243","7,566","7,676"
483,בענה,"7,993","3,978","4,015"
944,בסמת טבעון,"7,619","3,778","3,841"
"1,326","בסמ""ה","9,184","4,710","4,474"
33,בת שלמה,639,314,325
86,גבע,631,293,338
141,ברק,425,196,229
352,גבולות,325,164,161
379,גאולים,928,443,485
424,גבים,573,283,290
617,ברקאי,557,276,281
667,ברעם,589,310,279
683,גבע כרמל,"1,182",582,600
746,ברכיה,"1,210",657,554
853,גאליה,984,508,476
872,גאולי תימן,362,189,173
"1,319",בת חפר,"5,412","2,733","2,678"
"1,323",בת הדר,732,371,361
"1,361",בת חן,410,206,204
"2,038",ברקת,"1,932",943,989
"3,654",ברקן,"1,798",896,902
"3,763",גבע בנימין,"5,278","2,642","2,636"
"3,794",בת עין,"1,307",669,638
"6,200",בת ים,"128,904","61,361","67,543"
147,גבעת ברנר,"2,680","1,325","1,355"
173,גבעת חיים (מאוחד),994,492,502
207,"גבעת ח""ן",359,180,179
360,"גבעת ניל""י",724,365,359
566,גבעת שמש,88,69,19
681,גבעת שמואל,"25,544","12,749","12,795"
703,גבעת עוז,477,242,235
787,גבעת יערים,"1,465",733,732
802,"גבעת כ""ח",895,454,441
870,גבעת השלושה,785,400,386
919,גבעת ישעיהו,822,399,423
"1,077",גבעת שפירא,414,199,215
"1,288",גבעת אלה,"1,970",980,990
"1,293",גבעת אבני,"2,041","1,026","1,016"
"1,344",גבעות בר,896,444,453
"2,014",גבעולים,338,168,170
"2,018",גבעת חיים (איחוד),"1,064",526,539
"3,644",גבעון החדשה,"1,135",594,542
"3,730",גבעת זאב,"16,865","8,413","8,451"
"4,021",גבעת יואב,700,346,354
35,גדות,407,205,203
133,גבת,888,422,466
145,גדיש,402,196,206
196,גיבתון,337,163,174
342,גברעם,444,246,198
370,גזר,280,132,148
442,גדעונה,422,217,205
457,גזית,674,327,348
706,גיאה,948,483,465
736,גילת,"1,373",701,672
755,גורן,438,229,209
793,גבעתי,960,472,488
852,גונן,340,161,178
"1,043",גיזו,199,105,94
"1,204",גילון,"1,048",525,523
"1,219",גורנות הגליל,174,86,88
"2,550",גדרה,"27,046","13,162","13,884"
"6,300",גבעתיים,"58,508","27,656","30,852"
485,ג'ולס,"6,209","3,162","3,047"
"1,292",ג'דיידה-מכר,"20,257","10,178","10,079"
72,גן שמואל,883,423,461
92,גיניגר,675,342,333
144,גן שלמה,539,255,283
166,גן יבנה,"23,097","11,591","11,507"
225,גן השומרון,820,400,420
239,גן חיים,815,407,408
262,גינוסר,581,264,316
311,גן שורק,697,357,341
346,גליל ים,496,236,260
369,גלעד (אבן יצחק),477,248,229
393,גלאון,382,198,184
734,גן יאשיה,989,525,465
745,גמזו,"1,156",583,573
863,גינתון,913,474,438
"1,072",גן הדרום,577,299,278
"1,206",גיתה,276,142,135
"1,274",גן נר,"2,677","1,327","1,350"
"3,606",גלגל,178,82,96
"3,613",גיתית,430,230,200
627,ג'לג'וליה,"9,618","4,939","4,679"
39,גפן,418,225,193
128,גת רימון,295,154,140
218,גני עם,255,127,128
229,גני תקווה,"17,311","8,396","8,915"
305,גשר,429,205,225
340,גת (קיבוץ),752,372,380
463,געתון,587,310,277
549,גנות הדר,935,489,446
574,גשר הזיו,"1,616",800,815
836,גנות,614,308,306
842,געש,700,332,368
862,גני יוחנן,632,328,304
"1,103",גני הדר,289,151,138
"1,129",גרופית,249,124,125
"1,371",גני טל,743,382,361
