סמל היישוב,שם יישוב,"סה""כ",זכר,נקבה
175,אביחיל,"1,395",681,714
182,אבן יהודה,"13,221","6,471","6,750"
400,אבן שמואל,"1,535",594,942
679,אביאל,817,412,405
783,אבן ספיר,740,409,331
819,אביגדור,763,376,387
"1,070",אביעזר,847,422,425
"1,081",אבן מנחם,264,146,118
"1,115",אביבים,496,246,249
"1,220",אבירים,194,99,94
"1,275",אבטליון,381,186,195
"2,052",אביטל,499,263,236
"3,786",אבנת,128,73,55
"3,793",אבני חפץ,"1,709",851,858
"4,011",אבני איתן,633,316,317
472,אבו גוש,"6,978","3,517","3,461"
473,אבו סנאן,"13,358","6,776","6,581"
652,אבטין,"2,689","1,364","1,325"
"1,342",אבו קורינאת (יישוב),"1,218",622,597
"1,375",אבו תלול,117,61,56
31,אופקים,"25,638","12,588","13,050"
67,אור הנר,708,365,343
113,אדירים,267,147,121
446,אודים,"1,306",656,650
680,אומץ,782,394,388
780,אורה,"1,301",654,647
"1,020",אור עקיבא,"17,084","8,306","8,778"
"1,046",אוהד,404,205,199
"1,068",אדמית,175,90,85
"1,108",אומן,327,165,161
"1,123",אדרת,869,432,437
"1,294",אור הגנוז,454,234,220
"1,311",אבשלום,258,130,128
"2,012",אורות,498,247,251
"2,400",אור יהודה,"36,164","17,902","18,261"
"3,759",אדורה,404,214,189
"4,010",אודם,118,59,58
"1,358",אום בטין,"3,080","1,558","1,522"
"2,024",אום אל-קוטוף,"1,037",534,503
"2,710",אום אל-פחם,"52,500","26,680","25,820"
49,אילנייה,484,232,252
77,איילת השחר,"1,470",752,718
278,אושה,462,232,230
294,אילון,962,483,480
338,איבים,277,134,143
403,אורים,470,226,244
565,אזור,"12,227","6,083","6,144"
716,אייל,482,258,225
785,אחיהוד,822,403,419
797,אחיעזר,"1,751",847,903
804,אחיסמך,"1,349",706,643
821,אחוזם,517,284,233
850,אחיטוב,"1,062",547,516
882,אורנים,177,27,150
"1,126",אילות,322,148,174
"1,157",אחווה,235,86,149
"1,330",אחוזת ברק,"2,095","1,045","1,050"
"2,600",אילת,"49,734","25,732","24,002"
"3,760",אורנית,"8,495","4,300","4,195"
"4,013",אורטל,321,164,157
37,איתן,433,236,197
41,אליכין,"3,424","1,710","1,714"
285,אלונים,470,236,234
330,אלומות,321,153,168
429,אלוני אבא,"1,000",491,509
868,אלוני יצחק,294,154,139
886,איתנים,92,62,31
"1,145",אלומה,502,255,247
"1,182",אלון הגליל,"1,003",517,486
"1,336",אירוס,211,110,101
"1,365",אליאב,257,136,121
"3,579",אלון מורה,"1,794","1,022",772
"3,604",אלון שבות,"3,218","1,685","1,533"
"3,762",איתמר,"1,305",846,459
"4,003",אל -רום,338,166,171
"4,017",אלוני הבשן,368,217,151
478,אכסאל,"13,743","7,093","6,650"
"1,316",אל -עריאן,178,99,80
"1,339",אל -עזי,184,82,101
"1,359",אל סייד,"3,384","1,869","1,516"
23,אמציה,569,297,272
204,אלישיב,728,374,353
603,אלקוש,318,173,145
682,אליקים,857,436,421
730,אליפלט,554,284,269
772,אמונים,934,459,475
841,אלישמע,"1,212",606,606
"1,064",אמירים,789,374,415
"1,125",אלמגור,349,181,169
"1,248",אליפז,129,63,66
"1,253",אמנון,289,131,158
"1,309",אלעד,"44,872","22,634","22,238"
"3,556",אלמוג,207,111,96
"3,560",אלקנה,"3,945","1,905","2,040"
"3,618",אלעזר,"2,577","1,246","1,331"
"3,750",אלפי מנשה,"7,638","3,819","3,818"
"3,754",אספר,583,320,263
"4,002",אלי-עד,350,179,172
"4,012",אניעם,503,250,253
529,אעבלין,"12,691","6,404","6,287"
70,אשדוד,"220,174","107,442","112,732"
71,אשבול,490,237,253
176,אפיקים,"1,474",719,755
188,אשדות יעקב (מאוחד),506,246,260
199,אשדות יעקב (איחוד),922,464,458
313,אפק,562,264,298
701,ארבל,673,375,298
714,ארז,487,249,238
"1,152",אשלים,449,225,223
"1,188",אשחר,790,413,377
"1,256",אשרת,512,240,272
"1,276",אשבל,105,61,45
"1,324",ארסוף,154,72,82
"2,021",אשל הנשיא,244,130,114
"3,570",אריאל,"18,717","9,281","9,436"
"3,598",ארגמן,133,73,60
"3,650",אפרת,"8,301","4,289","4,012"
"3,722",אשכולות,494,248,246
"4,301",אפיק,277,145,132
